,text,bias
7584,"This is rarely true: just a very small number of refugees get social housing when they arrive. For example those who come directly here on special schemes, like some Syrians resettled from refugee camps.",0
933,Not what my Sheikh says.  And hes black himself.  That whole black Americans cannot be racist slogan has been pretty much discredited.,1
945,Black people cry racism every chance they get. Its pathetic.,1
2258,Is  LBB  Barry  back  from  his  gay  sex romp  in   the  south  seas  yet?   When  he  left Moochelle at  home?,0
283,just mirroring what the ReBumpkins did for 8 years while someone black was governing.,1
1247,Too bad there is little outrage at the actions of these Muslims.  Maybe we should put up a statue?   If there were any justice they would all be buried in a pig sty.,1
7794,You are absolutely right about one thing: Islam is a religion. It has brought a lot of good to a lot of countries. That is why we should help our Muslim brothers and sisters.,0
240,You have to remember their preferred male target is a white male. Preferably an old white male. The only group you can attack with impunity.,1
5583,The Jews are not the problem in the world. And the Jews have the right to be proud of their history.,0
2938,Sure tomcorker  thats why his press secretary blamed muslims after the shootings at the Quebec City mosque: Its a terrible reminder of why we must remain vigilant. And why the president is taking steps to be proactive not reactive.   And dont get him started about those Mexican terrorists...,1
758,Isnt it awful that the democratic party largely resemblescolludes for the left wing of Muslim terrorist organizations.,1
65,Actually aparthied was created to protect whites from violent blacks. Now that whites have no power all of their fears are playing out and genocide is in full swing. The white population has gone from 30 to less than 10.,1
2307,This would not be a story if she was ugly or black. Especially if she was both.,1
7014,"Why do you think it's a disgrace? Is it because of the way they act towards others, or something more?",0
258,The countless thousands of Muslims annually displaced brutalized and  tortured to death by their fellow Muslims would see this bit of parliamentary gamesmanship for what it is a farce.  This is semantic Liberalism at its cowardly worst.,1
6909,"Muslims are part of the European Union, and they are entitled to be here.",0
5950,"Recently, there has been a harsh campaign against immigrants. Public figures have accused them of being “killers” and “rapists”. Still, studies have shown that immigrants are less likely than nativeborn citizens to commit crimes. According to the U.S. Chamber of Commerce, while the percentage of immigrants in the U.S. increased sharply between 1990 and 2010, the violent crime rate during the same period plummeted 45 percent and the property crime rate dropped by 42 percent. To feel safer you'd rather replace your U.S. neighbor with migrants.",0
3372,Black Lives Matter is a joke. Where are they when black people kill other black people?,1
6295,Did you check the official stats on Muslim immigration? Do you know that the government doesn't think that all Muslims are a threat to the country? So why do you say so?,0
8043,There are thousands of British people who are happy to have a neighbour coming from another country.,0
1637,What Catholic social teaching do the kids need to know?   Its good to encourage illegal immigrationwhile ignoring the fact that doing so also encourages traffickers who rape women and pack people into deadly trucks?,0
