,text,identity_attack_x,bias,target,category,rationale,race,religion,gender,lgbtq,political
0,We are still having their water put at risk in the Dakotas for some white mans profit. When white people complained about the same issue the natives were just not important enough to care about their water supply. Some of you white folks refuse to acknowledge how much you benefit from the rape robbery torture and murder done in your benefit. Many of you are quite proud in your self righteous ignorance. Or maybe you just dont think those lives matter. Or they both may be true.,0.6,1,"whites,men","race,gender",prejudice against white men,1,0,1,0,0
1,This whole tragedy is the face and body and physical manifestation of fundamental Islam.  Striving to conquer subdue and to bring under control.  Do not blame the world.  Blame fundamental Islam for this tragedy.,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
2,Black on black killings.  Stop this madness man stop it now.  All of you criminalminded shooters.,0.706666667,1,blacks,race,prejudice against blacks,1,0,0,0,0
3,The world would be at peace with out islam.,0.833333333,1,muslims,religion,prejudice against islam,0,1,0,0,0
4,Another Muslim commits a terrorist act and democrats will once again blame the NRA. NYC New Jersey Minnesota Orlando San Bernardino. Get it yet?,0.5,1,muslims,religion,prejudice against muslims,0,1,0,0,0
5,My wife is a white native Oregonian. Is that good enough for you? BTW when do I get to ask for proof of the good will of white folks. You seem to get that privilege with birth.,0.5,1,whites,race,prejudice against whites,1,0,0,0,0
6,What a stupid comment.  Im sure there are STILL troops who would ban African Americans from serving.  Should we listen to them?  Dumb MAGAphant.,0.257575758,0,,none,,0,0,0,0,0
7,Unfortunately too many people see giving someone on the bottom rung of the ladder a leg up as somehow discriminating against someone higher on the ladder.  The sad thing is that many of those same people who see it as discrimination also are self identified Christians.  I wonder how they reconcile those 2 things.,0.5,1,christians,religion,prejudice against christians,0,1,0,0,0
8,AntiMuslim protesters shout hateful rhetoric.  Muslim fundamentalist nutjobs murder innocent people.  Not quite the same thing is it?,0.8,1,muslims,religion,prejudice against muslims,0,1,0,0,0
9,Like I said I cant stand the guy and dont watch his show.  Most of the local braddahs that tease me for being white come off misogynist also.  Watcha gonna do...?,0.6,1,"whites,men","race,gender",prejudice against white men,1,0,1,0,0
10,Who wants to bet they arrest a black guy for this?,0.6625,1,blacks,race,prejudice towards blacks,1,0,0,0,0
